excluded,,,,bluemailbox,bluemailbox,bluemailbox,bluemailbox,bluemailbox,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,blueoutsidedoor,bluehouse,bluehouse,bluehouse,bluehouse,bluehouse,cuttree,cuttree,cuttree,cuttree,cuttree,breakwindows,breakwindows,breakwindows,breakwindows,breakwindows,razehouse,razehouse,razehouse,razehouse,razehouse,bleachlawn,bleachlawn,bleachlawn,bleachlawn,bleachlawn,blueinsidedoor,blueinsidedoor,blueinsidedoor,blueinsidedoor,blueinsidedoor,erasemural,erasemural,erasemural,erasemural,erasemural,smearpoop,smearpoop,smearpoop,smearpoop,smearpoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subjectcode,control1,control2,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,1000000,100000,10000,1000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResponseId,Q93,Q91,bluemailbox,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q1,Q2,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_8_TEXT,Q8_1,Q8_2,Q8_3,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q8_21,Q8_22,Q8_22_TEXT,Q9_1,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q10_1,Q11,Q12,Q106,Q24
,Response ID,What is the stranger's proposal to Hank?,Can Hank communicate with his neighbor about the stranger's offer?,"Imagine that the stranger asks Hank to paint his neighbor's mailbox blue in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint his neighbor's mailbox blue in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint his neighbor's mailbox blue in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint his neighbor's mailbox blue in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint his neighbor's mailbox blue in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's front door blue in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's front door blue in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's front door blue in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's front door blue in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's front door blue in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's whole house blue in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's whole house blue in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's whole house blue in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's whole house blue in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the outside of his neighbor's whole house blue in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to cut down a tree in his neighbor's front yard in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to cut down a tree in his neighbor's front yard in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to cut down a tree in his neighbor's front yard in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to cut down a tree in his neighbor's front yard in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to cut down a tree in his neighbor's front yard in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to break all the windows in his neighbor's house in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to break all the windows in his neighbor's house in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to break all the windows in his neighbor's house in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to break all the windows in his neighbor's house in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to break all the windows in his neighbor's house in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to completely demolish his neighbor's house in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to completely demolish his neighbor's house in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to completely demolish his neighbor's house in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to completely demolish his neighbor's house in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to completely demolish his neighbor's house in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to spill several gallons of bleach on his neighbor's front lawn in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to spill several gallons of bleach on his neighbor's front lawn in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to spill several gallons of bleach on his neighbor's front lawn in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to spill several gallons of bleach on his neighbor's front lawn in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to spill several gallons of bleach on his neighbor's front lawn in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the inside of his neighbor's front door blue in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the inside of his neighbor's front door blue in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the inside of his neighbor's front door blue in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the inside of his neighbor's front door blue in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint the inside of his neighbor's front door blue in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint over a mural that his neighbor's daughter painted in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint over a mural that his neighbor's daughter painted in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint over a mural that his neighbor's daughter painted in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint over a mural that his neighbor's daughter painted in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to paint over a mural that his neighbor's daughter painted in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to smear dog poop all over his neighbor's front steps in exchange for $1 million.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to smear dog poop all over his neighbor's front steps in exchange for $100,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to smear dog poop all over his neighbor's front steps in exchange for $10,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to smear dog poop all over his neighbor's front steps in exchange for $1,000.
 

Would it be morally acceptable for Hank to carry out the stranger's request?","Imagine that the stranger asks Hank to smear dog poop all over his neighbor's front steps in exchange for $100.
 

Would it be morally acceptable for Hank to carry out the stranger's request?",What is your gender?,What is your age?,"50 States, D.C. and Puerto Rico",List of Countries,What languages are spoken in your household?,Would you say English is the/a primary language for you?,Which categories describe you? Select all that apply. - Selected Choice - American Indian or Alaska Native,Which categories describe you? Select all that apply. - Selected Choice - Asian,Which categories describe you? Select all that apply. - Selected Choice - Black or African American,Which categories describe you? Select all that apply. - Selected Choice - Native Hawaiian or Other Pacific Islander,"Which categories describe you? Select all that apply. - Selected Choice - Hispanic, Latino or Spanish Origin",Which categories describe you? Select all that apply. - Selected Choice - Middle Eastern or North African,Which categories describe you? Select all that apply. - Selected Choice - White,Which categories describe you? Select all that apply. - Selected Choice - Other:,Which categories describe you? Select all that apply. - Selected Choice - Prefer not to say,Which categories describe you? Select all that apply. - Other: - Text,"What is your present religion, if any? - Selected Choice - Protestant","What is your present religion, if any? - Selected Choice - Roman Catholic","What is your present religion, if any? - Selected Choice - Mormon","What is your present religion, if any? - Selected Choice - Greek or Russian Orthodox","What is your present religion, if any? - Selected Choice - Jewish","What is your present religion, if any? - Selected Choice - Muslim","What is your present religion, if any? - Selected Choice - Buddhist","What is your present religion, if any? - Selected Choice - Hindu","What is your present religion, if any? - Selected Choice - Atheist","What is your present religion, if any? - Selected Choice - Agnostic","What is your present religion, if any? - Selected Choice - Nothing in particular","What is your present religion, if any? - Selected Choice - Prefer not to say","What is your present religion, if any? - Selected Choice - Other","What is your present religion, if any? - Other - Text",To what extent do you consider yourself to be religious? - Not religious,To what extent do you consider yourself to be religious? - Slightly religious,To what extent do you consider yourself to be religious? - Moderately religious,To what extent do you consider yourself to be religious? - Very religious,To what extent do you consider yourself to be religious? - Don't know,To what extent do you consider yourself to be religious? - Prefer not to say,How would you describe your political views?,Please estimate your total household income per year.,What is the highest level of school you have completed or the highest degree you have received?,"If you are reading this, please simply write, ""I am paying attention"" in the box below.",Was anything about this survey confusing or unclear?  Are there any other questions or comments you would like to share?
,"{""ImportId"":""_recordId""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID121_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID1318744906_TEXT""}","{""ImportId"":""QID1318744907_TEXT""}","{""ImportId"":""QID1318744908""}","{""ImportId"":""QID1318744909""}","{""ImportId"":""QID1318744910_TEXT""}","{""ImportId"":""QID1318744911""}","{""ImportId"":""QID1318744912"",""choiceId"":""1""}","{""ImportId"":""QID1318744912"",""choiceId"":""2""}","{""ImportId"":""QID1318744912"",""choiceId"":""3""}","{""ImportId"":""QID1318744912"",""choiceId"":""4""}","{""ImportId"":""QID1318744912"",""choiceId"":""5""}","{""ImportId"":""QID1318744912"",""choiceId"":""6""}","{""ImportId"":""QID1318744912"",""choiceId"":""7""}","{""ImportId"":""QID1318744912"",""choiceId"":""8""}","{""ImportId"":""QID1318744912"",""choiceId"":""9""}","{""ImportId"":""QID1318744912_8_TEXT""}","{""ImportId"":""QID1318744913"",""choiceId"":""1""}","{""ImportId"":""QID1318744913"",""choiceId"":""2""}","{""ImportId"":""QID1318744913"",""choiceId"":""3""}","{""ImportId"":""QID1318744913"",""choiceId"":""13""}","{""ImportId"":""QID1318744913"",""choiceId"":""14""}","{""ImportId"":""QID1318744913"",""choiceId"":""15""}","{""ImportId"":""QID1318744913"",""choiceId"":""16""}","{""ImportId"":""QID1318744913"",""choiceId"":""17""}","{""ImportId"":""QID1318744913"",""choiceId"":""18""}","{""ImportId"":""QID1318744913"",""choiceId"":""19""}","{""ImportId"":""QID1318744913"",""choiceId"":""20""}","{""ImportId"":""QID1318744913"",""choiceId"":""21""}","{""ImportId"":""QID1318744913"",""choiceId"":""22""}","{""ImportId"":""QID1318744913_22_TEXT""}","{""ImportId"":""QID1318744914"",""choiceId"":""1""}","{""ImportId"":""QID1318744914"",""choiceId"":""4""}","{""ImportId"":""QID1318744914"",""choiceId"":""5""}","{""ImportId"":""QID1318744914"",""choiceId"":""6""}","{""ImportId"":""QID1318744914"",""choiceId"":""7""}","{""ImportId"":""QID1318744914"",""choiceId"":""8""}","{""ImportId"":""QID1318744915_1""}","{""ImportId"":""QID1318744916""}","{""ImportId"":""QID1318744917""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID23_TEXT""}"
,R_5RdPmifJ3nvKler,The stranger offers Hank money if Hank is willing to do something his neighbor's property.,"No, the neighbor is on vacation.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_7f6JXsKpwsfLDhC,"He wants Hank to do something particular to the neighbor's property, it's not specified exactly what it is.","No, he can't because the neighbor is away.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,female,34,45,,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,13,14,5,I am paying attention,none
,R_5Hp16i3zHpEH1LT,To do something strange to his neighbor's property,No,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,female,52,39,,English,5,,,,,,,1,,,,,,,,,,,,,,,,1,Norse Pagan,,,1,,,,13,7,5,I am paying attention,"no it was clear, shorter than estimated though"
1,R_1fSzyLCkBUG0Vbj,"The stranger proposed that Hank do something to his neighbor's property, and the stranger would pay Hank a sum of money for doing so. ","No, as the neighbor is out of town. ",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,male,38,45,,English,5,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,13,11,5,,
,R_60BjwxQ1isortRE,He asked him to do something to the neighbor's property.,"No, the neighbor is away on vacation for the next week. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,38,23,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,14,10,5,I am paying attention,"No, I did answer honestly, and it was based for me on whether I would have to harm another living thing, meaning the answer was no, or destroy something a child made, which was also a no, or enter the home, which made it a no. I did say yes to doing things to the outside of the home, and even breaking windows if the amount offered was high enough to replace any damages with money left over."
1,R_6Lq9zFAs4jCL2ZH,He would be willing to do something particular to Hank's neighbours property,Yes,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,female,72,18,,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,15,6,5,I am paying attention,"There is no condition where it is morally acceptable to do anything to someone's property without their consent. Even if you painted the mailbox for $1,000,000 and decided to split it with the neighbor when they returned, it is not acceptable because of the law of unintended consequences in addition to not taking control of someone's property. The value of the offer makes no difference."
