"","subjectcode","answer","question","context"
"1","R_5RdPmifJ3nvKler",1,"1000000","bluemailbox"
"2","R_7f6JXsKpwsfLDhC",0,"1000000","bluemailbox"
"3","R_5Hp16i3zHpEH1LT",1,"1000000","bluemailbox"
"4","R_1fSzyLCkBUG0Vbj",1,"1000000","bluemailbox"
"5","R_60BjwxQ1isortRE",0,"1000000","bluemailbox"
"6","R_6Lq9zFAs4jCL2ZH",0,"1000000","bluemailbox"
"7","R_3EZLtbk8yjxMIrI",0,"1000000","bluemailbox"
"8","R_3DuqpDxBnamDUPM",1,"1000000","bluemailbox"
"9","R_3R9rjKDUwSXJeVl",1,"1000000","bluemailbox"
"10","R_7h0f5zgwUSqYLWR",1,"1000000","bluemailbox"
"11","R_7LRNUkmMcu35ueA",1,"1000000","bluemailbox"
"12","R_6f2tggfYpKxISj1",0,"1000000","bluemailbox"
"13","R_6JJCjw2UI2ffkiG",1,"1000000","bluemailbox"
"14","R_6VF9jgGvIoETOMZ",0,"1000000","bluemailbox"
"15","R_1e3Q9N5RzKSduiJ",1,"1000000","bluemailbox"
"16","R_6oLvGItkZNgPC1Q",1,"1000000","bluemailbox"
"17","R_7fUxnJsTaghuorc",1,"1000000","bluemailbox"
"18","R_1LljRnrAevQTSDf",0,"1000000","bluemailbox"
"19","R_3fgdwcUC2PsS80h",0,"1000000","bluemailbox"
"20","R_5WuJIZRpW05YO3Z",0,"1000000","bluemailbox"
"21","R_1XNx2bVwBjQwqZP",1,"1000000","bluemailbox"
"22","R_7c2y9gxg4ZuTZKb",1,"1000000","bluemailbox"
"23","R_1WRJEjyq7ugmqw9",1,"1000000","bluemailbox"
"24","R_30P2LnfKRE1d7ch",0,"1000000","bluemailbox"
"25","R_5Bd1wDSJWunVopH",0,"1000000","bluemailbox"
"26","R_3DNxs5oNYHxrNpC",1,"1000000","bluemailbox"
"27","R_5p139da0MVHsD4Z",1,"1000000","bluemailbox"
"28","R_6CvmFHCgjbhnbx3",0,"1000000","bluemailbox"
"29","R_1qX9JlCuKxgH1YU",1,"1000000","bluemailbox"
"30","R_33wguO6j087IYFk",1,"1000000","bluemailbox"
"31","R_6Sv1k7n3EY3xJI6",1,"1000000","bluemailbox"
"32","R_19G9XvISWVTf6Br",0,"1000000","bluemailbox"
"33","R_16kBWQuaV8wUe5o",1,"1000000","bluemailbox"
"34","R_77lrzs37B64KdvJ",0,"1000000","bluemailbox"
"35","R_6C6CVPGFlZxr8oV",0,"1000000","bluemailbox"
"36","R_6QsbxSPrpRZfaDK",0,"1000000","bluemailbox"
"37","R_1CNP2mYKELE2LTt",0,"1000000","bluemailbox"
"38","R_1fOftTTHEeQUL8O",0,"1000000","bluemailbox"
"39","R_1Zl9LS1ROyWRavv",1,"1000000","bluemailbox"
"40","R_6YD3MHlVzj047zQ",1,"1000000","bluemailbox"
"41","R_3ls3MpEVuhqu9xG",1,"1000000","bluemailbox"
"42","R_1aKxLE1wW8MnC20",1,"1000000","bluemailbox"
"43","R_6Bsxa7jB6O0lhat",1,"1000000","bluemailbox"
"44","R_1JKgd4GeDyJdSFu",0,"1000000","bluemailbox"
"45","R_1xOfFazMVvcgSBj",1,"1000000","bluemailbox"
"46","R_6P5Ki0XsAjKB9uJ",0,"1000000","bluemailbox"
"47","R_51iutn4fVKapuT1",1,"1000000","bluemailbox"
"48","R_7AR1obNopJvb0hQ",0,"1000000","bluemailbox"
"49","R_3eB2zz9yssjPGjD",1,"1000000","bluemailbox"
"50","R_1foTUBk2vJjBXQf",1,"1000000","bluemailbox"
"51","R_7uy2P25ZxtLC1Zh",0,"1000000","bluemailbox"
"52","R_1se21ZwwxGB9DEJ",0,"1000000","bluemailbox"
"53","R_5oI6lLJFJivlh1D",0,"1000000","bluemailbox"
"54","R_5KATNLt2B8ralzj",0,"1000000","bluemailbox"
"55","R_11ZpJ1NEJNuhfm6",0,"1000000","bluemailbox"
"56","R_3tLoOkHbqM50mk1",1,"1000000","bluemailbox"
"57","R_61AtFrKpGZ5HUWZ",1,"1000000","bluemailbox"
"58","R_1e3JeQS3yEOsESy",1,"1000000","bluemailbox"
"59","R_5xT07bC61oO1Dvb",1,"1000000","bluemailbox"
"60","R_1Krn02XtwjN72TL",1,"1000000","bluemailbox"
"61","R_5P0EeFcYeIuDmmt",0,"1000000","bluemailbox"
"62","R_1PdlQxelfdGYAK2",1,"1000000","bluemailbox"
"63","R_16eDxW811m3VbZM",1,"1000000","bluemailbox"
"64","R_1yYqe4cBxZ47cpr",0,"1000000","bluemailbox"
"65","R_5ouuc6n8uCwGB4y",1,"1000000","bluemailbox"
"66","R_66mcL88y4HbYCLE",0,"1000000","bluemailbox"
"67","R_4J92WK4lDBc1KWQ",0,"1000000","bluemailbox"
"68","R_18AvcGTy8g5GuQn",1,"1000000","bluemailbox"
"69","R_5mwQE9gVNFJYGaE",1,"1000000","bluemailbox"
"70","R_67BeaTAKgLNLj5L",0,"1000000","bluemailbox"
"71","R_3sgn0qAw5TKtAtw",1,"1000000","bluemailbox"
"72","R_1Kg3xw7BfZ2WYM1",0,"1000000","bluemailbox"
"73","R_6Ei1CxojnW2e6sj",0,"1000000","bluemailbox"
"74","R_7HoRbkwWzuZIrUl",1,"1000000","bluemailbox"
"75","R_54cvjyhwfYdVIDn",1,"1000000","bluemailbox"
